diagnostico,1,1,FK,DiaCap,Captura,Imagen y ubicación a diagnosticar,A,,,,,Ref captura,,
diagnostico,2,1,FK,DiaPla,Plaga,Plaga detectada,A,,,,,Ref plaga,,
diagnostico,3,1,FK,DiaCul,Cultivo,Cultivo afectado,A,,,,,Ref cultivo,,
diagnostico,4,1,,DiaNivD,Nivel de Daño,Estimación del daño causado,N,10,2,,,0-100,,
diagnostico,5,1,,DiaConf,Confianza,Nivel de confianza del modelo,N,10,2,,,0-100,,Obligatorio
diagnostico,6,1,,DiaMod,Modelo IA,Modelo que realizó la predicción,A,40,,,,,,
diagnostico,7,1,,DiaFec,Fecha,Fecha del diagnóstico,D,,,,,,,
modelo,1,1,K,ModNom,Nombre,Nombre del modelo IA,A,40,,,,Único,,Clave primaria.
modelo,2,1,,ModVer,Versión,Versión del modelo,N,10,2,,,,,
modelo,3,1,,ModFecEntr,Fecha Entrenamiento,Fecha en que fue entrenado,D,,,,,,,
modelo,4,1,,ModTip,Tipo de Modelo,Tipo o arquitectura del modelo IA,A,40,,,,,,
etiqueta_manual,1,1,FK,EtiManDia,Diagnóstico,Diagnóstico corregido,A,,,,,Ref diagnostico,,
etiqueta_manual,2,1,FK,EtiManUsu,Usuario,Usuario que corrigió el diagnóstico,A,,,,,Ref usuario,,
etiqueta_manual,3,1,,EtiManPlaCor,Plaga Corregida,Plaga corregida manualmente,A,80,,,,,,
etiqueta_manual,4,1,,EtiManObs,Observaciones,Comentarios del técnico,A,160,,,,,,Obligatorio
etiqueta_manual,5,1,,EtiManFec,Fecha,Fecha de la corrección,D,,,,,,,
zona_geografica,1,1,K,ZonGeoNom,Nombre,Nombre de la zona geográfica,A,80,,,,Único,,Clave primaria.
zona_geografica,2,1,,ZonGeoTip,Tipo de Zona,"Ej: parcela, región, sector",A,40,,,,,,
zona_geografica,3,1,,ZonGeoReg,Región,Nombre de la región donde está ubicada,A,80,,,,,,
capa_mapa,1,1,FK,CapMapUsu,Usuario,Usuario que definió la capa,A,,,,,Ref usuario,,
capa_mapa,2,1,,CapMapNom,Nombre,Nombre de la capa,A,40,,,,Obligatorio,,
capa_mapa,3,1,,CapMapTipVis,Tipo Visualización,"Forma de visualización (calor, puntos, etc)",A,40,,,,,,
capa_mapa,4,1,,CapMapFilt,Filtros Aplicados,Criterios aplicados para generar la capa,A,160,,,,,,
mapa_calor_cache,1,1,,MapCalFec,Fecha,Fecha del resumen,D,,,,,Obligatorio,,
mapa_calor_cache,2,1,FK,MapCalZon,Zona Geográfica,Zona a la que se refiere el resumen,A,,,,,Ref zona_geografica,,
mapa_calor_cache,3,1,FK,MapCalPla,Plaga,Plaga considerada,A,,,,,Ref plaga,,
mapa_calor_cache,4,1,FK,MapCalCul,Cultivo,Cultivo afectado,A,,,,,Ref cultivo,,
mapa_calor_cache,5,1,,MapCalNivInf,Nivel de Infestación,Valor de infestación registrado,N,10,2,,,0-100,,
mapa_calor_cache,6,1,,MapCalFuen,Fuente,Origen de los datos,A,40,,,,,,
estadistica_agregada,1,1,,EstAgrFec,Fecha,Fecha del análisis,D,,,,,Obligatorio,,
estadistica_agregada,2,1,FK,EstAgrZon,Zona Geográfica,Zona considerada,A,,,,,Ref zona_geografica,,
estadistica_agregada,3,1,FK,EstAgrCul,Cultivo,Cultivo analizado,A,,,,,Ref cultivo,,
estadistica_agregada,4,1,FK,EstAgrPla,Plaga,Plaga registrada,A,,,,,Ref plaga,,
estadistica_agregada,5,1,,EstAgrTotCas,Total Casos,Número total de registros,N,,,,,,,
estadistica_agregada,6,1,,EstAgrMedDan,Media Daño,Promedio de daño en registros,N,10,2,,,0-100,,
alerta,1,1,K,AleTip,Tipo,Tipo de alerta generada,A,40,,,,Obligatorio,,Clave primaria.
alerta,2,1,,AleMen,Mensaje,Contenido de la alerta,A,160,,,,,,
alerta,3,1,,AleGrav,Gravedad,Nivel de gravedad,A,40,,,,Alta/Media/Baja,,
alerta,4,1,,AleFecGen,Fecha Generada,Fecha en que se generó la alerta,D,,,,,,,
alerta,5,1,,AleEst,Estado,Estado actual de la alerta,A,40,,,,Activa/Resuelta,,
usuario_alerta,1,1,FK,UsuAleUsu,Usuario,Usuario que recibió la alerta,A,,,,,Ref usuario,,
usuario_alerta,2,1,FK,UsuAleAle,Alerta,Alerta asignada al usuario,A,,,,,Ref alerta,,
usuario_alerta,3,1,,UsuAleLei,Leída,Indicador de lectura,A,40,,,,Sí/No,,
usuario_alerta,4,1,,UsuAleFec,Fecha de Lectura,Fecha en que el usuario leyó la alerta,D,,,,,,,
recomendacion,1,1,FK,RecPla,Plaga,Plaga relacionada a la recomendación,A,,,,,Ref plaga,,
recomendacion,2,1,FK,RecCul,Cultivo,Cultivo afectado,A,,,,,Ref cultivo,,
recomendacion,3,1,,RecNivDan,Nivel de Daño,Daño estimado que genera la recomendación,N,10,2,,,0-100,,
recomendacion,4,1,,RecAccSug,Acción Sugerida,Acción que se recomienda tomar,A,160,,,,Obligatorio,,
recomendacion_aplicada,1,1,FK,RecAplUsu,Usuario,Usuario que aplicó la recomendación,A,,,,,Ref usuario,,
recomendacion_aplicada,2,1,FK,RecAplRec,Recomendación,Recomendación aplicada,A,,,,,Ref recomendacion,,
recomendacion_aplicada,3,1,,RecAplFec,Fecha,Fecha de aplicación,D,,,,,Obligatorio,,
recomendacion_aplicada,4,1,,RecAplCom,Comentarios,Notas del usuario sobre la recomendación,A,160,,,,,,
clima,1,1,,CliFec,Fecha,Fecha del registro climático,D,,,,,Obligatorio,,
clima,2,1,FK,CliZon,Zona Geográfica,Zona donde se tomaron los datos,A,,,,,Ref zona_geografica,,
clima,3,1,,CliTemp,Temperatura,Temperatura en grados Celsius,N,10,2,,,,,
clima,4,1,,CliHum,Humedad,Porcentaje de humedad,N,10,2,,,,,
clima,5,1,,CliLluv,Lluvia,Nivel de precipitaciones,N,10,2,,,,,
clima,6,1,,CliFuen,Fuente,Fuente de los datos climáticos,A,40,,,,,,
prediccion,1,1,FK,PrePla,Plaga,Plaga estimada,A,,,,,Ref plaga,,
prediccion,2,1,FK,PreZon,Zona Geográfica,Zona donde se estima aparición,A,,,,,Ref zona_geografica,,
prediccion,3,1,,PreFecEst,Fecha Estimada,Fecha de aparición estimada,D,,,,,Obligatorio,,
prediccion,4,1,,PreProb,Probabilidad,Probabilidad de aparición,N,10,2,,,0-100,,
prediccion,5,1,,PreMod,Modelo IA,Modelo usado para la predicción,A,,,,,Ref modelo,,
tecnico_productor,1,1,FK,TecProTec,Técnico,Usuario técnico asignado,A,,,,,Ref usuario,,
tecnico_productor,2,1,FK,TecProPro,Productor,Usuario productor asignado,A,,,,,Ref usuario,,
tecnico_productor,3,1,,TecProFecAsig,Fecha Asignación,Fecha de asignación,D,,,,,Obligatorio,,
tecnico_productor,4,1,,TecProEst,Estado,Estado de la asignación,A,40,,,,Activa/Inactiva,,
mensaje_chat,1,1,FK,MenChaRem,Remitente,Usuario que envía el mensaje,A,,,,,Ref usuario,,
mensaje_chat,2,1,FK,MenChaRec,Receptor,Usuario que recibe el mensaje,A,,,,,Ref usuario,,
mensaje_chat,3,1,,MenChaCon,Contenido,Texto del mensaje,A,160,,,,Obligatorio,,
mensaje_chat,4,1,,MenChaFec,Fecha y Hora,Momento del envío,D,,,,,,,
anotacion_tecnico,1,1,FK,AnoTecCap,Captura,Captura comentada,A,,,,,Ref captura,,
anotacion_tecnico,2,1,FK,AnoTecUsu,Usuario,Técnico que comenta,A,,,,,Ref usuario,,
anotacion_tecnico,3,1,,AnoTecCom,Comentario,Observación técnica,A,160,,,,Obligatorio,,
anotacion_tecnico,4,1,,AnoTecFec,Fecha,Fecha de la anotación,D,,,,,,,
api_key,1,1,FK,ApiKeyUsu,Usuario,Usuario dueño de la clave,A,,,,,Ref usuario,,
api_key,2,1,K,ApiKeyClave,Clave,Token único para autenticación,A,80,,,,Único,,Clave primaria.
api_key,3,1,,ApiKeyFec,Fecha de Emisión,Fecha de creación de la clave,D,,,,,,,
api_key,4,1,,ApiKeyAct,Activa,Estado de validez de la clave,A,40,,,,Sí/No,,
api_key,5,1,,ApiKeyNivel,Nivel de Acceso,Permisos asociados,A,40,,,,Admin/Lectura,,
uso_api_log,1,1,FK,LogApiKey,API Key,Clave usada,A,,,,,Ref api_key,,
uso_api_log,2,1,,LogFec,Fecha y Hora,Momento de la petición,D,,,,,Obligatorio,,
uso_api_log,3,1,,LogEnd,Endpoint,Ruta del endpoint invocado,A,80,,,,,,
uso_api_log,4,1,,LogExito,Éxito,Indicador si la respuesta fue exitosa,A,40,,,,Sí/No,,
uso_api_log,5,1,,LogMenRes,Mensaje Respuesta,Respuesta textual del sistema,A,160,,,,,,
datos_offline_buffer,1,1,FK,OffUsu,Usuario,Usuario que almacenó datos offline,A,,,,,Ref usuario,,
datos_offline_buffer,2,1,,OffTip,Tipo de Dato,Clasificación del contenido,A,40,,,,,,
datos_offline_buffer,3,1,,OffCon,Contenido,Datos sin conexión,A,160,,,,Obligatorio,,
datos_offline_buffer,4,1,,OffFec,Fecha de Creación,Fecha cuando se almacenó,D,,,,,,,
datos_offline_buffer,5,1,,OffSync,Sincronizado,Indicador de sincronización,A,40,,,,Sí/No,,
sync_log,1,1,FK,SyncUsu,Usuario,Usuario que sincronizó,A,,,,,Ref usuario,,
sync_log,2,1,,SyncFec,Fecha,Fecha de sincronización,D,,,,,Obligatorio,,
sync_log,3,1,,SyncTip,Tipo de Sincronización,Tipo de evento sincronizado,A,40,,,,,,
sync_log,4,1,,SyncRes,Resultado,Estado de la sincronización,A,40,,,,Éxito/Error,,

